ID_Provinsi;Provinsi;Tahun;PDRB;Konsumsi_RT;NTL;IPM;Jumlah_Penduduk;Proporsi_Informal;Realisasi_Pajak;NO2;Proporsi_Agrikultur
1;Aceh;2019;164163,0;1619155,55;79753,02;71,9;5316300;57,12;1902,77;0,021173081;29,51
1;Aceh;2020;166372,0;1566633,06;64598,25;73,29;5554800;61,88;1929,1;0,019626579;30,98
1;Aceh;2021;184980,0;1680774,36;90034,91;73,48;5274900;60,69;2012,27;0,018446633;30,06
1;Aceh;2022;209698,0;1778508,81;56831,55;74,11;5334900;61,45;2236,8;0,020711337;29,61
1;Aceh;2023;227018,0;1897523,36;95184,22;74,7;5409200;59,86;2167,46;0,023249244;30,71
2;Bali;2019;251934,0;2314305,36;32321,28;75,38;4362000;49,46;9743,45;0,002222236;13,45
2;Bali;2020;224226,0;2254866,58;30467,13;76,52;4433300;56,69;5413,67;0,001881591;15,09
2;Bali;2021;220466,0;2356877,6;29779,57;76,69;4317400;57,1;4971,1;0,002042391;15,77
2;Bali;2022;245368,0;2558517,9;31423,24;77,4;4343400;53,43;8398,45;0,002228371;14,67
2;Bali;2023;274358,0;2777225,31;37742,83;78,01;4374300;52,35;11820,3;0,002590522;13,73
3;Banten;2019;661321,0;2281951,56;112435,55;72,44;12714300;42,14;13407,8;0,014104364;5,6
3;Banten;2020;625895,0;2318463,73;97283,76;74,41;12431400;49,17;11309,6;0,01222986;6,23
3;Banten;2021;665870,0;2522148,3;96416,52;74,68;11904600;48,87;13010,5;0,015054148;6,04
3;Banten;2022;747221,0;2767910,12;94708,91;75,25;12023000;47,96;15738,1;0,013605167;5,9
3;Banten;2023;814122,0;2925604,78;121868,59;75,77;12167000;46,31;15433,5;0,016185727;5,72
4;Bengkulu;2019;72098,2;1925444,6;20854,35;71,21;1971800;65,12;827,1;0,006217385;28,18
4;Bengkulu;2020;73305,3;1827119,43;22446,14;72,93;2112200;69,23;739,46;0,005445375;28,35
4;Bengkulu;2021;79602,6;1995639,99;22711,23;73,16;2010700;68,16;974,61;0,005770377;28,31
4;Bengkulu;2022;90112,0;2182534,61;20819,56;73,68;2032400;67,54;1122,27;0,006194073;27,69
4;Bengkulu;2023;96583,1;2359170,15;26888,59;74,3;2059400;67,77;1009,56;0,006787082;28,26
5;DKI Jakarta;2019;2815640,0;13647686,78;84633,12;80,76;10504100;31,35;40298,1;0,003395794;0,08
5;DKI Jakarta;2020;2767270,0;13434067,39;66632,55;81,92;10684900;38,22;31895,3;0,002253642;0,08
5;DKI Jakarta;2021;2912890,0;14255372,2;62186,62;82,25;10562100;38,26;34575,6;0,003295889;0,08
5;DKI Jakarta;2022;3188540,0;15493757,9;60636,91;82,77;10605400;36,88;45608,4;0,002814057;0,08
5;DKI Jakarta;2023;3443030,0;16759946,74;79846,19;83,55;10640000;36,23;39045,5;0,003287537;0,07
6;Daerah Istimewa Yogyakarta;2019;141048,0;1991161,75;25826,73;79,99;3868600;51,64;3211,46;0,002145386;9,39
6;Daerah Istimewa Yogyakarta;2020;138118,0;2055980,41;23537,06;79,95;3759500;57,41;2823,94;0,001913543;10,18
