province_id,province_name,year,PDRB_resmi,konsumsi_perkapita,NTL_mean,IPM,jumlah_penduduk,pct_informal,tax_realization,NO2_median,pct_pertanian,ln_NTL,ln_NO2,ln_konsumsi,ln_penduduk,const,PDRB_lights,w_official,Y_target,Y2_geospatial,true_PDRB,underreporting_rate,shadow_economy,pct_shadow,true_PDRB_lower,true_PDRB_upper,tax_potential,tax_gap,pct_tax_gap,tax_gap_lower,tax_gap_upper
1,Aceh,2019,164163.0,1619155.55,79753.02,71.9,5316300,57.12,1902.77,0.021173081,29.51,11.286689888268661,-3.855024668288678,14.297415305870413,15.486288130631547,1,146192.12619296878,0.4667662434652726,154580.3234516652,154165.34,171491.40373231974,0.08109505956724777,7328.403732319741,4.464101979325269,91640.72694926738,3406124.4399057943,2030.8844407341987,128.11444073419875,6.308307758164873,-817.5160312976423,38434.20886692081
1,Aceh,2020,166372.0,1566633.06,64598.25,73.29,5554800,61.88,1929.1,0.019626579,30.98,11.075942599620477,-3.930870559951558,14.26443932671827,15.530172976807362,1,111157.73339725265,0.446907400786557,135833.3977710225,135069.05,182435.7462744272,0.08883870099043319,16063.74627442719,9.655318367530107,91140.48396239312,3374983.4861392323,2160.492657234222,231.39265723422204,10.710180220211527,-849.770151553927,38039.09257735932
1,Aceh,2021,184980.0,1680774.36,90034.91,73.48,5274900,60.69,2012.27,0.018446633,30.06,11.407952762991844,-3.992873418374448,14.334765173755928,15.47847027980074,1,171153.94704178747,0.4517119884361731,177399.3409157655,178478.88,195502.96722941063,0.08663215361141463,10522.967229410628,5.688705389453253,98401.49241914005,3582477.2400353523,2315.2410302928206,302.9710302928206,13.0859390589887,-846.9517650930864,40413.1643233941
1,Aceh,2022,209698.0,1778508.81,56831.55,74.11,5334900,61.45,2236.8,0.020711337,29.61,10.94784690824617,-3.8770740474739824,14.391285823970973,15.489780698399862,1,94106.37726351313,0.44863167339614174,145964.44040235874,132398.34,228851.16323658428,0.08729889976312795,19153.16323658428,9.133689036893191,105874.54695229832,3935639.2704554014,2710.1665538090724,473.36655380907223,17.466327047087464,-982.9822260733997,44370.95050384649
1,Aceh,2023,227018.0,1897523.36,95184.22,74.7,5409200,59.86,2167.46,0.023249244,30.71,11.463569450737841,-3.761482663606465,14.456060099111584,15.503611765581342,1,183987.00326153229,0.4551247041689423,203571.4729222221,196333.2,248809.2259001395,0.08866035112899487,21791.225900139514,9.59889784076131,114714.76738778883,4350767.149390348,2946.5196190267293,779.0596190267293,26.439994290079156,-808.9520448493793,49356.436339120715
2,Bali,2019,251934.0,2314305.36,32321.28,75.38,4362000,49.46,9743.45,0.002222236,13.45,10.383481115811211,-6.109241382783585,14.654620140000157,15.28844122574371,1,45184.327286549116,0.5027146591594611,149120.41853602172,147602.8,266805.0691730299,0.05850855089419066,14871.069173029915,5.90276388777613,91530.87803213504,3241201.157274488,3159.635129806798,-6583.814870193202,-208.37263163977363,-8659.496915492304,28640.42730427026
2,Bali,2020,224226.0,2254866.58,30467.13,76.52,4433300,56.69,5413.67,0.001881591,15.09,10.324403676535955,-6.275637583434671,14.628601362871404,15.304654785698613,1,41844.05007566931,0.46864748336301437,127316.8919185462,127586.555,239977.26904894202,0.0656746117049251,15751.26904894202,7.024729089820993,92503.08727962837,3234383.7392592942,2841.927299178849,-2571.742700821151,-90.49290956754012,-4318.203541696879,32889.472131126255
2,Bali,2021,220466.0,2356877.6,29779.57,76.69,4317400,57.1,4971.1,0.002042391,15.77,10.3015778669128,-6.193634098627203,14.672848250149812,15.278163927182915,1,40620.62983996932,0.46685340802987857,124582.05381757466,124368.18,236137.36318154394,0.0669676998506499,15671.363181543944,7.108290249536865,99138.63264750666,3445078.115422858,2796.453270100661,-2174.6467298993393,-77.764458042278,-3797.0521927189184,35827.187199555934
2,Bali,2022,245368.0,2558517.9,31423.24,77.4,4343400,53.43,8398.45,0.002228371,14.67,10.355303025525673,-6.10648445372387,14.754938703489696,15.284168009509289,1,43559.10571477801,0.48341873731025814,141117.3065681194,121618.01,262171.5327894632,0.06409188307852565,16803.532789463177,6.848298388324141,106595.42362660509,3827705.565646107,3104.762542947285,-5293.687457052716,-170.50216832452284,-7136.09525460034,36931.09718311245
2,Bali,2023,274358.0,2777225.31,37742.83,78.01,4374300,52.35,11820.3,0.002590522,13.73,10.538550802862632,-5.955895879176491,14.836962897315335,15.291257064972486,1,55276.11389559961,0.4885197850512946,162301.94980395352,112155.38,292900.0832734866,0.06290061063922095,18542.083273486583,6.758353419068,115286.4870390097,4224876.798253695,3468.66495266648,-8351.635047333519,-240.77376054765205,-10455.021463240875,38212.741696860816
3,Banten,2019,661321.0,2281951.56,112435.55,72.44,12714300,42.14,13407.8,0.014104364,5.6,11.630135447574181,-4.261271025938258,14.640541582184998,16.358237902235974,1,228469.08746223594,0.542652485348383,463357.2535886545,463471.78,691243.8443188812,0.04476196797942227,29922.844318881165,4.524708019083193,89199.4554207588,3218006.455293929,8186.045117292008,-5221.754882707991,-63.788493807317025,-12351.456753671775,24701.394385275034
3,Banten,2020,625895.0,2318463.73,97283.76,74.41,12431400,49.17,11309.6,0.01222986,6.23,11.48538734776884,-4.403874776609411,14.656415338956114,16.33573608787663,1,189280.18673925125,0.5041847332862761,409414.7099119591,409743.16,660329.6994233612,0.049891620439782056,34434.69942336122,5.501673511269657,90848.6999624351,3248849.3350166306,7819.94480846888,-3489.65519153112,-44.62506164687859,-10233.725599306254,27164.850737331268
3,Banten,2021,665870.0,2522148.3,96416.52,74.68,11904600,48.87,13010.5,0.015054148,6.04,11.476432835211202,-4.196101711144044,14.740621596315869,16.292435438010617,1,187089.5764257455,0.5057145746940427,429215.8147054332,430695.7,702503.9934102026,0.049775915341907846,36633.99341020256,5.501673511376478,103726.96232397083,3454688.3381670853,8319.393268232603,-4691.106731767397,-56.387606409715865,-11782.114965627145,27901.59612186031
3,Banten,2022,747221.0,2767910.12,94708.91,75.25,12023000,47.96,15738.1,0.013605167,5.9,11.458563361337534,-4.297305631923329,14.833603124094234,16.302332039957047,1,182793.51901869272,0.5104124132298897,470884.31167962943,891526.4,801809.583278009,0.04966053651042262,54588.58327800897,7.305547258175155,115167.15025427383,3785186.9575336482,9495.41826395343,-6242.68173604657,-65.74414694026781,-14374.234707368878,29087.9211883515
3,Banten,2023,814122.0,2925604.78,121868.59,75.77,12167000,46.31,15433.5,0.016185727,5.72,11.710698612045194,-4.123625474478644,14.88901177966886,16.314237926769586,1,253695.06907392896,0.5191568892119198,544644.5711640915,1054625.6,910257.7075899867,0.04912964654491002,96135.70758998673,11.808513661341511,124695.56349373599,4427809.683831296,10779.713590124906,-4653.786409875094,-43.17170740174712,-13956.794612928257,37002.77142653369
4,Bengkulu,2019,72098.2,1925444.6,20854.35,71.21,1971800,65.12,827.1,0.006217385,28.18,9.945317838559616,-5.080405878637907,14.470667460075587,14.494457389123077,1,25562.796297456025,0.4343293954134816,45774.490052904235,45927.105,70548.36705397772,0.08405931326574938,-1549.832946022274,-2.149613923818173,85142.38233195327,3239081.659151307,835.4680051063482,8.368005106348164,1.0015949210745643,181.1974176064682,37531.67717874297
4,Bengkulu,2020,73305.3,1827119.43,22446.14,72.93,2112200,69.23,739.46,0.005445375,28.35,10.018873940748232,-5.212988654445263,14.418251202681782,14.563240616294511,1,28127.871629074038,0.41935754424222094,47073.36704588439,46831.844,71729.51906238926,0.08975277338384761,-1575.780937610747,-2.149613926429258,83442.15486630975,3260028.9512902587,849.4557804922747,109.99578049227466,12.948970743189264,248.70249870945986,37867.38517955608
4,Bengkulu,2021,79602.6,1995639.99,22711.23,73.16,2010700,68.16,974.61,0.005770377,28.31,10.030614794795424,-5.15501786264162,14.50647535385423,14.513993478113738,1,28560.48353830317,0.4231550440081246,50159.21257592032,50507.758,77891.45141477503,0.0891421881036844,-1711.1485852249752,-2.1496139387720694,93642.68108901755,3445969.9251690344,922.4283742605913,-52.18162573940867,-5.656984021251179,134.35208132489026,39834.238443432805
4,Bengkulu,2022,90112.0,2182534.61,20819.56,73.68,2032400,67.54,1122.27,0.006194073,27.69,9.943648208420187,-5.084162411901609,14.595997424531213,14.524727918701714,1,25507.371929352244,0.4253871022630593,52989.3474571078,48918.94,88174.93991051771,0.08830243796230021,-1937.0600894822855,-2.1496139132216414,103455.54147564333,3864654.5237542107,1044.2104363811604,-78.05956361883955,-7.475462885562085,102.90073694591501,44644.844679149835
4,Bengkulu,2023,96583.1,2359170.15,26888.59,74.3,2059400,67.77,1009.56,0.006787082,28.26,10.199457312038344,-4.992734179412182,14.67382048380906,14.537925236204787,1,35570.595958870676,0.4245563386261357,61473.84128498485,65011.715,105404.70000633057,0.09027150488178223,8821.60000633057,9.13368902668331,111810.20774211625,4185944.939091902,1248.253618340226,238.69361834022607,19.12220520198543,314.5507500243025,48562.43172409395
5,DKI Jakarta,2019,2815640.0,13647686.78,84633.12,80.76,10504100,31.35,40298.1,0.003395794,0.08,11.346080958344052,-5.685217671972433,16.429080598567477,16.16727621510224,1,157926.55458492943,0.6146281499692686,1791432.052688845,1773996.4,2945647.2555566877,0.04132719334938278,130007.25555668771,4.617325210491672,84292.95085473878,3427155.3749553985,34883.78454548761,-5414.315454512391,-15.521009331577126,-39299.861962239986,287.93740768008865
5,DKI Jakarta,2020,2767270.0,13434067.39,66632.55,81.92,10684900,38.22,31895.3,0.002253642,0.08,11.106948475873342,-6.095207704728065,16.413304381172722,16.184342087777225,1,115729.76408257839,0.5667649059170257,1618529.7164275239,1632908.2,2893352.7339711557,0.044871636586752445,126082.73397115571,4.556213668025011,86464.43727085453,3417584.297892062,34264.48743838906,2369.187438389057,6.914410853654504,-30871.346166113908,8577.39206752917
5,DKI Jakarta,2021,2912890.0,14255372.2,62186.62,82.25,10562100,38.26,34575.6,0.003295889,0.08,11.037895143047058,-5.715079344686467,16.472644390124838,16.172782680108,1,105793.44073493383,0.5665080444142306,1696036.2230061018,1690380.1,3045607.492323288,0.04512063068647063,132717.49232328823,4.556213668325554,93489.20603343492,3604619.036209329,36067.56218753356,1491.9621875335579,4.136576183818827,-33468.45544477636,8112.048220773038
5,DKI Jakarta,2022,3188540.0,15493757.9,60636.91,82.77,10605400,36.88,45608.4,0.002814057,0.08,11.01265906255355,-5.873128064631548,16.555947784648524,16.17687386332713,1,102379.00026387861,0.5755064456721916,1878484.5479941512,1705956.9,3333816.695305885,0.04490822807724073,145276.69530588482,4.556213668509249,102471.43697855587,4054753.782779842,39480.67545895667,-6127.724541043332,-15.520819919642948,-44394.883506168866,2409.9623740656098
5,DKI Jakarta,2023,3443030.0,16759946.74,79846.19,83.55,10640000,36.23,39045.5,0.003287537,0.07,11.287857438040167,-5.717616626788737,16.634502475208865,16.18013104187777,1,146414.18723268528,0.5798446016467587,2057939.0699691544,1751767.6,3607766.911603807,0.04517612199372516,164736.911603807,4.784649323526283,110327.92613007175,4392967.979652912,42724.92688909623,3679.4268890962267,8.611897449578196,-37738.943148288796,12978.15905434161
6,Daerah Istimewa Yogyakarta,2019,141048.0,1991161.75,25826.73,79.99,3868600,51.64,3211.46,0.002145386,9.39,10.159165281095557,-6.144435789411871,14.504228820329118,15.168403242450134,1,33755.376223082254,0.4919323101141283,86536.08449586746,85148.414,150187.7864705872,0.05920456863802109,9139.78647058719,6.479912136710333,90243.61967948439,3255786.398148942,1778.5966648656101,-1432.86333513439,-80.56145406314795,-2142.7512537081357,35345.142806025
6,Daerah Istimewa Yogyakarta,2020,138118.0,2055980.41,23537.06,79.95,3759500,57.41,2823.94,0.001913543,10.18,10.066331479216597,-6.258798781440895,14.536263377301683,15.139796527800218,1,29917.863925352318,0.4655060050274648,80285.67701288963,79035.97,147488.39489624335,0.06334407045878687,9370.39489624335,6.784340126734639,93186.52674932027,3207732.7593072113,1746.6291596235342,-1077.3108403764659,-61.67942602130081,-1720.379919771973,35163.58829079937
6,Daerah Istimewa Yogyakarta,2021,149414.0,2182289.82,19832.09,80.22,3668700,55.36,2932.0,0.002165141,9.77,9.89505661182494,-6.135269792627571,14.595885259653022,15.115347933845571,1,23945.93138965123,0.47456340167046324,83488.48483040142,84639.984,159416.9378291442,0.061930847319326444,10002.937829144212,6.694779491308854,100743.83948247352,3392524.6037731012,1887.8927548581485,-1044.1072451418515,-55.30543207261278,-1738.9425542510746,37243.92300640938
6,Daerah Istimewa Yogyakarta,2022,165725.0,2307382.9,19091.01,80.65,3687800,53.38,3632.81,0.002300216,9.96,9.856972822601552,-6.074752247413109,14.651624496509147,15.120540632253201,1,22789.263002262178,0.4836525440123815,91920.49583150275,112625.25,176819.92331553713,0.061448917080897544,11094.923315537133,6.69477949346033,112123.19446732914,3728830.367472291,2093.9873559718344,-1538.8226440281655,-73.48767601865424,-2304.9927092596195,40525.80909473347
6,Daerah Istimewa Yogyakarta,2023,180696.0,2510527.21,32323.28,81.09,3712600,53.78,3593.93,0.002264089,10.23,10.383542992634277,-6.090582808459792,14.736003332876551,15.12724299775726,1,45187.96205414962,0.48178839853536326,110474.1626447501,234697.0,202306.76653671046,0.062419443828370176,21610.766536710464,11.959737092525824,121781.6940521573,4172700.3431630274,2395.814924087762,-1198.115075912238,-50.008665688917354,-2151.7320691764426,45821.21279050105
7,Gorontalo,2019,41145.5,1801562.68,15280.23,68.49,1176400,58.66,536.95,0.001543064,38.93,9.634315114963247,-6.473985228820328,14.40416500179288,13.977969485661976,1,17061.670973978198,0.46015092950487757,28143.867286338682,28415.912,40261.03059489074,0.09337958086942821,-884.4694051092592,-2.149613943467109,82469.60550318053,3369271.9930692352,476.7906660249548,-60.15933397504523,-12.617556982941553,439.6950970995922,39363.60430420527
